Gene,Count
1700057H21Rik&4930440I19Rik&4930441J16Rik&4930555B11Rik&4930573O16Rik&4932414N04Rik&4933409G03Rik&5330411J11Rik&6430710C18Rik&8430437L04Rik&9430019J16Rik&Abcb11&Acvr1&Acvr1c&Acvr2a&Agps&Arl5a&Arl6ip6&Atf2&Atp5g3&B3galt1&BB557941&Baz2b&Bbs5&Cacnb4&Ccdc141&Ccdc148&Ccdc173&Cd302&Cdca7&Cers6&Chn1&Chn1os3&Chrna1&Cir1&Cobll1&Csrnp3&Cwc22&Cybrd1&Cyct&Cytip&Dapl1&Dcaf17&Dfnb59&Dhrs9&Dlx1&Dlx1as&Dlx2&Dpp4&Dync1i2&Epc2&Erich2&Ermn&Evx2&Fap&Fastkd1&Fign&Fkbp7&Fmnl2&G6pc2&Gad1&Gad1os&Galnt13&Galnt3&Galnt5&Gca&Gcg&Gm1322&Gm13483&Gm13490&Gm13497&Gm13498&Gm13544&Gm13546&Gm13580&Gm13582&Gm13629&Gm13944&Gm14461&Gm6793&Gorasp2&Gpd2&Gpr155&Grb14&Haglr&Hat1&Hnrnpa3&Hoxd1&Hoxd10&Hoxd11&Hoxd12&Hoxd13&Hoxd3&Hoxd3os1&Hoxd4&Hoxd8&Hoxd9&Ifih1&Itga6&Itgb6&Kcnh7&Kcnj3&Kif5c&Klhl23&Klhl41&LOC102634401&Lnpk1&Lrp2&Ly75&Lypd6&Lypd6b&March7&Mbd5&Metap1d&Mettl5&Mettl8&Mir10b&Mir195b&Mir5098&Mir6335&Mir6337&Mir7224&Mmadhc&Mtx2&Myo3b&Neb&Nfe2l2&Nmi&Nostrin&Nr4a2&Ola1&Orc4&Osbpl6&Pde11a&Pdk1&Phospho2&Pkp4&Pla2r1&Platr26&Plekha3&Ppig&Prkra&Prpf40a&Psmd14&Rapgef4&Rbm43&Rbm45&Rbms1&Rif1&Rnd3&Rprm&Scn1a&Scn2a1&Scn3a&Scn7a&Scn9a&Scrn3&Sestd1&Slc25a12&Slc38a11&Slc4a10&Sp3&Sp3os&Sp5&Sp9&Spc25&Ssb&Stam2&Stk39&Tanc1&Tank&Tas2r134&Tbr1&Tlk1&Tnfaip6&Ttc21b&Ttc30a1&Ttc30a2&Ttc30b&Ttn&Ube2e3&Ubr3&Upp2&Wdsub1&Wipf1&Xirp2&Zak&Zfp385b,4
Gm21293,4
Gm21304,4
Gm6763,4
Gm8764,4
Gm20765,4
Gm21312,4
Gm4340,4
Mir6411,4
Tmtc2,4
Gm15663,4
Mettl25,4
Ccdc59,4
Ppfia2,4
4930532I03Rik,4
Acss3,4
Lin7a,4
Myf5,4
Myf6,4
Ptprq,4
Otogl,4
Gm29685,4
Ppp1r12a,4
Pawr,4
Syt1,4
Gm5136,4
