Array	Sample	Batch	Covariate
MB-7269	Basal	2	group 2
MB-7270	Basal	2	group 2
MB-0000	claudin-low	2	group 3
MB-0022	claudin-low	2	group 3
MB-0045	claudin-low	2	group 3
MB-0048	claudin-low	2	group 3
MB-0081	claudin-low	2	group 3
MB-0108	claudin-low	2	group 3
MB-0128	claudin-low	2	group 3
MB-0155	claudin-low	2	group 3
MB-0157	claudin-low	2	group 3
MB-0164	claudin-low	2	group 3
MB-0168	claudin-low	2	group 3
MB-0174	claudin-low	2	group 3
MB-0179	claudin-low	2	group 3
MB-0192	claudin-low	2	group 3
MB-0206	claudin-low	2	group 3
MB-0209	claudin-low	2	group 3
MB-0211	claudin-low	2	group 3
MB-0220	claudin-low	2	group 3
MB-0222	claudin-low	2	group 3
MB-0238	claudin-low	2	group 3
MB-0241	claudin-low	2	group 3
MB-0265	claudin-low	2	group 3
MB-0269	claudin-low	2	group 3
MB-0275	claudin-low	2	group 3
MB-0279	claudin-low	2	group 3
MB-0282	claudin-low	2	group 3
MB-0284	claudin-low	2	group 3
MB-0285	claudin-low	2	group 3
MB-0286	claudin-low	2	group 3
MB-0289	claudin-low	2	group 3
MB-0293	claudin-low	2	group 3
MB-0303	claudin-low	2	group 3
MB-0307	claudin-low	2	group 3
MB-0352	claudin-low	2	group 3
MB-0354	claudin-low	2	group 3
MB-0365	claudin-low	2	group 3
MB-0367	claudin-low	2	group 3
MB-0391	claudin-low	2	group 3
MB-0393	claudin-low	2	group 3
MB-0400	claudin-low	2	group 3
MB-0401	claudin-low	2	group 3
MB-0402	claudin-low	2	group 3
MB-0414	claudin-low	2	group 3
MB-0420	claudin-low	2	group 3
MB-0424	claudin-low	2	group 3
MB-0442	claudin-low	2	group 3
MB-0443	claudin-low	2	group 3
MB-0446	claudin-low	2	group 3
MB-0460	claudin-low	2	group 3
MB-0462	claudin-low	2	group 3
MB-0470	claudin-low	2	group 3
MB-0476	claudin-low	2	group 3
MB-0478	claudin-low	2	group 3
MB-0489	claudin-low	2	group 3
MB-0494	claudin-low	2	group 3
MB-0495	claudin-low	2	group 3
MB-0502	claudin-low	2	group 3
MB-0519	claudin-low	2	group 3
MB-0527	claudin-low	2	group 3
MB-0534	claudin-low	2	group 3
MB-0537	claudin-low	2	group 3
MB-0540	claudin-low	2	group 3
MB-0558	claudin-low	2	group 3
MB-0573	claudin-low	2	group 3
MB-0608	claudin-low	2	group 3
MB-0610	claudin-low	2	group 3
MB-0613	claudin-low	2	group 3
MB-0617	claudin-low	2	group 3
MB-0620	claudin-low	2	group 3
MB-0627	claudin-low	2	group 3
MB-0634	claudin-low	2	group 3
MB-0641	claudin-low	2	group 3
MB-0644	claudin-low	2	group 3
MB-0656	claudin-low	2	group 3
MB-0657	claudin-low	2	group 3
MB-0658	claudin-low	2	group 3
MB-0893	claudin-low	2	group 3
MB-0906	claudin-low	2	group 3
MB-2556	claudin-low	2	group 3
MB-2616	claudin-low	2	group 3
MB-2643	claudin-low	2	group 3
MB-2724	claudin-low	2	group 3
MB-2758	claudin-low	2	group 3
MB-2764	claudin-low	2	group 3
MB-2765	claudin-low	2	group 3
MB-2795	claudin-low	2	group 3
MB-2796	claudin-low	2	group 3
MB-2821	claudin-low	2	group 3
MB-2823	claudin-low	2	group 3
MB-2833	claudin-low	2	group 3
MB-2845	claudin-low	2	group 3
MB-2850	claudin-low	2	group 3
MB-2857	claudin-low	2	group 3
MB-2895	claudin-low	2	group 3
MB-2896	claudin-low	2	group 3
MB-2904	claudin-low	2	group 3
MB-2957	claudin-low	2	group 3
MB-2963	claudin-low	2	group 3
MB-2993	claudin-low	2	group 3
MB-3001	claudin-low	2	group 3
