"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"952","Unaltered",7.29,3642,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"953","Unaltered",7.3,3641,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"954","Unaltered",7.39,3638,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"955","Unaltered",7.4,3637,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"956","Unaltered",7.46,3634,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"957","Unaltered",7.5,3633,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"958","Unaltered",7.6,3626,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"959","Unaltered",7.7,3623,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"960","Unaltered",7.8,3620,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"961","Unaltered",7.85,3617,1,0.99370403704057,0.00128963071210652,0.991195492825824,0.996218929946491
"962","Unaltered",7.866666667,3616,1,0.993429229508203,0.00131895704932713,0.990864423926247,0.996000673967804
"963","Unaltered",7.9,3615,0,0.993429229508203,0.00131895704932713,0.990864423926247,0.996000673967804
"964","Unaltered",7.95,3614,0,0.993429229508203,0.00131895704932713,0.990864423926247,0.996000673967804
"965","Unaltered",7.98,3613,0,0.993429229508203,0.00131895704932713,0.990864423926247,0.996000673967804
"966","Unaltered",8,3612,0,0.993429229508203,0.00131895704932713,0.990864423926247,0.996000673967804
"967","Unaltered",8.066666667,3608,1,0.993153888812663,0.00134777138014047,0.9905338520679,0.995780855752219
"968","Unaltered",8.1,3607,0,0.993153888812663,0.00134777138014047,0.9905338520679,0.995780855752219
"969","Unaltered",8.2,3603,0,0.993153888812663,0.00134777138014047,0.9905338520679,0.995780855752219
"970","Unaltered",8.28,3600,0,0.993153888812663,0.00134777138014047,0.9905338520679,0.995780855752219
"971","Unaltered",8.3,3599,0,0.993153888812663,0.00134777138014047,0.9905338520679,0.995780855752219
"972","Unaltered",8.38,3596,1,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"973","Unaltered",8.4,3595,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"974","Unaltered",8.48,3594,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"975","Unaltered",8.5,3593,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"976","Unaltered",8.51,3591,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"977","Unaltered",8.6,3590,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"978","Unaltered",8.7,3588,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"979","Unaltered",8.74,3584,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"980","Unaltered",8.8,3583,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"981","Unaltered",8.9,3581,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"982","Unaltered",8.97,3574,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"983","Unaltered",9.03,3573,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"984","Unaltered",9.1,3572,0,0.992877705862493,0.00137616912186582,0.990203282901531,0.995559352126283
"985","Unaltered",9.133333333,3569,1,0.992599510932299,0.00140441097540578,0.98987104345533,0.995335499121002
"986","Unaltered",9.2,3568,1,0.992321316002105,0.00143211136242738,0.989539887908723,0.995110562216143
"987","Unaltered",9.3,3565,0,0.992321316002105,0.00143211136242738,0.989539887908723,0.995110562216143
"988","Unaltered",9.36,3561,0,0.992321316002105,0.00143211136242738,0.989539887908723,0.995110562216143
"989","Unaltered",9.4,3560,0,0.992321316002105,0.00143211136242738,0.989539887908723,0.995110562216143
"990","Unaltered",9.403,3558,1,0.992042417374785,0.00145943758757955,0.98920878914485,0.994884162646374
"991","Unaltered",9.43,3557,0,0.992042417374785,0.00145943758757955,0.98920878914485,0.994884162646374
"992","Unaltered",9.433333333,3556,1,0.991763440317031,0.00148629139406986,0.988878560431246,0.994656736334268
"993","Unaltered",9.436,3555,1,0.991484463259276,0.0015126832648073,0.988549258747898,0.994428382991922
"994","Unaltered",9.46,3554,0,0.991484463259276,0.0015126832648073,0.988549258747898,0.994428382991922
"995","Unaltered",9.5,3553,0,0.991484463259276,0.0015126832648073,0.988549258747898,0.994428382991922
"996","Unaltered",9.6,3552,1,0.991205329119845,0.00153866597523588,0.988220624369778,0.994199048519298
"997","Unaltered",9.63,3550,0,0.991205329119845,0.00153866597523588,0.988220624369778,0.994199048519298
"998","Unaltered",9.69,3548,1,0.990925958959439,0.00156427433596882,0.987892510428744,0.993968722076379
"999","Unaltered",9.7,3547,1,0.990646588799034,0.00158948426553171,0.98756519813451,0.993737593986674
"1000","Unaltered",9.8,3545,0,0.990646588799034,0.00158948426553171,0.98756519813451,0.993737593986674
"1001","Unaltered",9.833333333,3544,1,0.990367060980524,0.00161434226310595,0.987238439584366,0.993505597176843
"1002","Unaltered",9.86,3543,0,0.990367060980524,0.00161434226310595,0.987238439584366,0.993505597176843
"1003","Unaltered",9.9,3542,1,0.99008745424394,0.00163885070440184,0.986912308015165,0.993272815720302
"1004","Unaltered",9.92,3541,1,0.989807847507356,0.00166301153506934,0.986586877664899,0.993039333044842
"1005","Unaltered",9.95,3539,0,0.989807847507356,0.00166301153506934,0.986586877664899,0.993039333044842
"1006","Unaltered",9.99,3538,0,0.989807847507356,0.00166301153506934,0.986586877664899,0.993039333044842
"1007","Unaltered",10,3535,0,0.989807847507356,0.00166301153506934,0.986586877664899,0.993039333044842
"1008","Unaltered",10.027,3534,1,0.989527766056448,0.00168692011990484,0.986261490375287,0.99280485890621
"1009","Unaltered",10.06666667,3533,1,0.98924768460554,0.0017105078100918,0.985936751510724,0.992569736342544
"1010","Unaltered",10.09,3532,0,0.98924768460554,0.0017105078100918,0.985936751510724,0.992569736342544
"1011","Unaltered",10.1,3531,0,0.98924768460554,0.0017105078100918,0.985936751510724,0.992569736342544
"1012","Unaltered",10.2,3528,0,0.98924768460554,0.0017105078100918,0.985936751510724,0.992569736342544
"1013","Unaltered",10.28,3527,0,0.98924768460554,0.0017105078100918,0.985936751510724,0.992569736342544
"1014","Unaltered",10.3,3526,0,0.98924768460554,0.0017105078100918,0.985936751510724,0.992569736342544
"1015","Unaltered",10.4,3525,1,0.988967046964518,0.00173387965409811,0.985611903224432,0.992333612025185
"1016","Unaltered",10.41,3520,0,0.988967046964518,0.00173387965409811,0.985611903224432,0.992333612025185
"1017","Unaltered",10.5,3518,1,0.98868593069193,0.00175703189070241,0.985287029733767,0.992096556687949
"1018","Unaltered",10.51,3514,1,0.988404574422524,0.0017799347198343,0.984962426014785,0.991858752107064
"1019","Unaltered",10.58,3512,1,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1020","Unaltered",10.6,3509,0,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1021","Unaltered",10.61,3507,0,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1022","Unaltered",10.7,3506,0,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1023","Unaltered",10.71,3505,0,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1024","Unaltered",10.78,3504,0,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1025","Unaltered",10.8,3503,0,0.988123138040285,0.00180257217630567,0.984638281752497,0.991620328018091
"1026","Unaltered",10.83333333,3501,1,0.987840897783776,0.00182506870744622,0.984313635186496,0.991380800235859
"1027","Unaltered",10.86666667,3499,1,0.987558576864146,0.00184731655584037,0.983989414568409,0.991140685355548
"1028","Unaltered",10.9,3498,0,0.987558576864146,0.00184731655584037,0.983989414568409,0.991140685355548
"1029","Unaltered",10.91,3495,0,0.987558576864146,0.00184731655584037,0.983989414568409,0.991140685355548
"1030","Unaltered",10.97,3494,0,0.987558576864146,0.00184731655584037,0.983989414568409,0.991140685355548
"1031","Unaltered",11,3493,0,0.987558576864146,0.00184731655584037,0.983989414568409,0.991140685355548
"1032","Unaltered",11.04,3492,1,0.987275770857026,0.00186938734958078,0.983665078392369,0.990899716918218
"1033","Unaltered",11.07,3490,0,0.987275770857026,0.00186938734958078,0.983665078392369,0.990899716918218
"1034","Unaltered",11.1,3489,0,0.987275770857026,0.00186938734958078,0.983665078392369,0.990899716918218
"1035","Unaltered",11.14,3487,0,0.987275770857026,0.00186938734958078,0.983665078392369,0.990899716918218
"1036","Unaltered",11.2,3486,0,0.987275770857026,0.00186938734958078,0.983665078392369,0.990899716918218
"1037","Unaltered",11.27,3485,0,0.987275770857026,0.00186938734958078,0.983665078392369,0.990899716918218
"1038","Unaltered",11.3,3483,1,0.986992315281127,0.00189131282647428,0.98334040134042,0.990657791641736
"1039","Unaltered",11.33,3478,0,0.986992315281127,0.00189131282647428,0.98334040134042,0.990657791641736
"1040","Unaltered",11.4,3477,0,0.986992315281127,0.00189131282647428,0.98334040134042,0.990657791641736
"1041","Unaltered",11.43,3476,1,0.986708370426328,0.00191307392238041,0.983015579637323,0.990415033532408
"1042","Unaltered",11.5,3474,0,0.986708370426328,0.00191307392238041,0.983015579637323,0.990415033532408
"1043","Unaltered",11.56,3472,0,0.986708370426328,0.00191307392238041,0.983015579637323,0.990415033532408
"1044","Unaltered",11.6,3471,0,0.986708370426328,0.00191307392238041,0.983015579637323,0.990415033532408
"1045","Unaltered",11.7,3468,1,0.986423852441776,0.00193468909723938,0.982690493941826,0.990171394416355
"1046","Unaltered",11.704,3463,1,0.986139005819644,0.00195612687453239,0.982365448207472,0.989927058787977
"1047","Unaltered",11.76,3462,0,0.986139005819644,0.00195612687453239,0.982365448207472,0.989927058787977
"1048","Unaltered",11.8,3461,0,0.986139005819644,0.00195612687453239,0.982365448207472,0.989927058787977
"1049","Unaltered",11.83,3460,0,0.986139005819644,0.00195612687453239,0.982365448207472,0.989927058787977
"1050","Unaltered",11.89,3459,1,0.985853912149271,0.00197738105768845,0.982040535335585,0.989682096745528
"1051","Unaltered",11.9,3458,0,0.985853912149271,0.00197738105768845,0.982040535335585,0.989682096745528
"1052","Unaltered",11.93,3451,0,0.985853912149271,0.00197738105768845,0.982040535335585,0.989682096745528
"1053","Unaltered",11.96,3450,0,0.985853912149271,0.00197738105768845,0.982040535335585,0.989682096745528
"1054","Unaltered",11.99,3449,1,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1055","Unaltered",12,3444,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1056","Unaltered",12.02,3443,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1057","Unaltered",12.09,3441,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1058","Unaltered",12.1,3440,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
"1059","Unaltered",12.19,3437,0,0.985568074540646,0.0019985306895664,0.981715107968619,0.989436162965525
