"","Event","time","n.risk","n.event","n.censor","surv","std.err","lower","upper"
"1688","Diploid",74.73333333,2075,1,0,0.747645169471142,0.010089162545615,0.733006154256673,0.762576543440316
"1689","Diploid",74.8,2074,1,1,0.747284684818553,0.0101006827174048,0.732636185484362,0.762226069676274
"1690","Diploid",74.84,2072,0,1,0.747284684818553,0.0101006827174048,0.732636185484362,0.762226069676274
"1691","Diploid",74.9,2071,0,1,0.747284684818553,0.0101006827174048,0.732636185484362,0.762226069676274
"1692","Diploid",74.93,2070,0,1,0.747284684818553,0.0101006827174048,0.732636185484362,0.762226069676274
"1693","Diploid",74.93333333,2069,1,0,0.746923503240583,0.0101122454303156,0.732265488741087,0.761874932344988
"1694","Diploid",74.97,2068,0,1,0.746923503240583,0.0101122454303156,0.732265488741087,0.761874932344988
"1695","Diploid",75.09,2067,0,1,0.746923503240583,0.0101122454303156,0.732265488741087,0.761874932344988
"1696","Diploid",75.1,2066,1,1,0.746561972019266,0.0101238284920124,0.731894436459125,0.761523452428133
"1697","Diploid",75.16,2064,0,1,0.746561972019266,0.0101238284920124,0.731894436459125,0.761523452428133
"1698","Diploid",75.2,2063,0,1,0.746561972019266,0.0101238284920124,0.731894436459125,0.761523452428133
"1699","Diploid",75.23333333,2062,1,0,0.746199914806842,0.0101354432326935,0.731522839581731,0.76117146687602
"1700","Diploid",75.3,2061,0,1,0.746199914806842,0.0101354432326935,0.731522839581731,0.76117146687602
"1701","Diploid",75.33333333,2060,1,1,0.745837681838489,0.0101470672092335,0.731151073712978,0.760819299389532
"1702","Diploid",75.36666667,2058,1,0,0.745475272858004,0.0101587004555876,0.73077913858448,0.760466949725976
"1703","Diploid",75.4,2057,0,1,0.745475272858004,0.0101587004555876,0.73077913858448,0.760466949725976
"1704","Diploid",75.43,2056,1,0,0.745112687608559,0.0101703430057858,0.730407033927276,0.760114417641998
"1705","Diploid",75.5,2055,1,0,0.744750102359115,0.0101819835603786,0.730034948726859,0.759761866101337
"1706","Diploid",75.6,2054,1,1,0.74438751710967,0.010193622142721,0.7296628829449,0.75940929514232
"1707","Diploid",75.682,2052,0,1,0.74438751710967,0.010193622142721,0.7296628829449,0.75940929514232
"1708","Diploid",75.7,2051,1,0,0.744024578290992,0.0102052814742803,0.729290457531417,0.759056377859217
"1709","Diploid",75.76,2050,0,1,0.744024578290992,0.0102052814742803,0.729290457531417,0.759056377859217
"1710","Diploid",75.86666667,2049,0,1,0.744024578290992,0.0102052814742803,0.729290457531417,0.759056377859217
"1711","Diploid",75.92,2048,0,1,0.744024578290992,0.0102052814742803,0.729290457531417,0.759056377859217
"1712","Diploid",75.96666667,2047,1,0,0.743661107563932,0.0102169730445311,0.728917481337133,0.758702949322505
"1713","Diploid",75.978,2046,0,2,0.743661107563932,0.0102169730445311,0.728917481337133,0.758702949322505
"1714","Diploid",76,2044,1,1,0.743297281190369,0.0102286855454351,0.728544143378384,0.758349172450963
"1715","Diploid",76.1,2042,1,0,0.742933276645222,0.010240407570775,0.728170633951728,0.757995211302898
"1716","Diploid",76.13333333,2041,1,0,0.742569272100075,0.0102521276659196,0.727797144056237,0.757641230623772
"1717","Diploid",76.175,2040,0,1,0.742569272100075,0.0102521276659196,0.727797144056237,0.757641230623772
"1718","Diploid",76.2,2039,0,1,0.742569272100075,0.0102521276659196,0.727797144056237,0.757641230623772
"1719","Diploid",76.23333333,2038,1,0,0.742204910337513,0.0102638688575017,0.727423290754337,0.757286900118177
"1720","Diploid",76.3,2037,0,1,0.742204910337513,0.0102638688575017,0.727423290754337,0.757286900118177
"1721","Diploid",76.4,2036,0,3,0.742204910337513,0.0102638688575017,0.727423290754337,0.757286900118177
"1722","Diploid",76.51,2033,0,1,0.742204910337513,0.0102638688575017,0.727423290754337,0.757286900118177
"1723","Diploid",76.54,2032,0,1,0.742204910337513,0.0102638688575017,0.727423290754337,0.757286900118177
"1724","Diploid",76.63333333,2031,0,1,0.742204910337513,0.0102638688575017,0.727423290754337,0.757286900118177
"1725","Diploid",76.7,2030,1,1,0.741839292155081,0.0102756892206652,0.727048110085817,0.756931388378403
"1726","Diploid",76.71,2028,0,1,0.741839292155081,0.0102756892206652,0.727048110085817,0.756931388378403
"1727","Diploid",76.73333333,2027,0,1,0.741839292155081,0.0102756892206652,0.727048110085817,0.756931388378403
"1728","Diploid",76.8,2026,0,1,0.741839292155081,0.0102756892206652,0.727048110085817,0.756931388378403
"1729","Diploid",76.86666667,2025,0,1,0.741839292155081,0.0102756892206652,0.727048110085817,0.756931388378403
"1730","Diploid",77.1,2024,1,0,0.741472770765676,0.0102875660835176,0.726671980763071,0.756575021937145
"1731","Diploid",77.14,2023,1,0,0.741106249376271,0.0102994409778146,0.726295871359672,0.756218635576649
"1732","Diploid",77.194,2022,0,1,0.741106249376271,0.0102994409778146,0.726295871359672,0.756218635576649
"1733","Diploid",77.2,2021,0,1,0.741106249376271,0.0102994409778146,0.726295871359672,0.756218635576649
"1734","Diploid",77.23333333,2020,2,0,0.740372480812533,0.0103232319675686,0.725542934055791,0.755505132246735
"1735","Diploid",77.46666667,2018,1,0,0.740005596530663,0.0103351245774071,0.725166495243678,0.755148350742114
"1736","Diploid",77.5,2017,1,0,0.739638712248794,0.0103470152960521,0.724790076272622,0.754791549396547
"1737","Diploid",77.56,2016,1,0,0.739271827966924,0.0103589041475315,0.724413677103726,0.75443472824893
"1738","Diploid",77.6,2015,0,3,0.739271827966924,0.0103589041475315,0.724413677103726,0.75443472824893
"1739","Diploid",77.66666667,2012,1,0,0.738904396640897,0.0103708266189894,0.724036711335976,0.754077381473957
"1740","Diploid",77.69,2011,0,1,0.738904396640897,0.0103708266189894,0.724036711335976,0.754077381473957
"1741","Diploid",77.86666667,2010,1,0,0.738536782513215,0.0103827591030422,0.723659569469447,0.753719845817641
"1742","Diploid",77.89,2009,0,1,0.738536782513215,0.0103827591030422,0.723659569469447,0.753719845817641
"1743","Diploid",77.92,2008,0,1,0.738536782513215,0.0103827591030422,0.723659569469447,0.753719845817641
"1744","Diploid",77.96,2007,1,0,0.738168802053567,0.0103947135359718,0.72328205478832,0.753361951562133
"1745","Diploid",78.16666667,2006,0,1,0.738168802053567,0.0103947135359718,0.72328205478832,0.753361951562133
"1746","Diploid",78.22,2005,0,1,0.738168802053567,0.0103947135359718,0.72328205478832,0.753361951562133
"1747","Diploid",78.35,2004,0,1,0.738168802053567,0.0103947135359718,0.72328205478832,0.753361951562133
"1748","Diploid",78.4,2003,0,1,0.738168802053567,0.0103947135359718,0.72328205478832,0.753361951562133
"1749","Diploid",78.46666667,2002,1,0,0.737800086368226,0.0104067139353375,0.722903771890581,0.753003357585682
"1750","Diploid",78.6,2001,1,0,0.737431370682884,0.010418712492166,0.722525508996471,0.752644743605715
"1751","Diploid",78.7,2000,0,3,0.737431370682884,0.010418712492166,0.722525508996471,0.752644743605715
"1752","Diploid",78.76666667,1997,0,1,0.737431370682884,0.010418712492166,0.722525508996471,0.752644743605715
"1753","Diploid",78.8,1996,0,1,0.737431370682884,0.010418712492166,0.722525508996471,0.752644743605715
"1754","Diploid",78.86666667,1995,1,0,0.737061730898081,0.0104307694204674,0.722146275476383,0.752285255222149
"1755","Diploid",78.9,1994,1,0,0.736692091113277,0.0104428245065753,0.721767062082092,0.7519257467129
"1756","Diploid",78.94,1993,0,1,0.736692091113277,0.0104428245065753,0.721767062082092,0.7519257467129
"1757","Diploid",79.04,1992,0,1,0.736692091113277,0.0104428245065753,0.721767062082092,0.7519257467129
"1758","Diploid",79.1,1991,1,0,0.736322080017791,0.0104549019947938,0.7213874707505,0.751565874796351
"1759","Diploid",79.13333333,1990,1,0,0.735952068922305,0.0104669776704755,0.721007899546605,0.751205982752219
"1760","Diploid",79.16666667,1989,1,0,0.735582057826818,0.0104790515581604,0.720628348431084,0.75084607061983
"1761","Diploid",79.2,1988,0,1,0.735582057826818,0.0104790515581604,0.720628348431084,0.75084607061983
"1762","Diploid",79.3,1987,0,1,0.735582057826818,0.0104790515581604,0.720628348431084,0.75084607061983
"1763","Diploid",79.33333333,1986,1,0,0.735211674111901,0.0104911480011058,0.720248417999117,0.750485793848819
"1764","Diploid",79.36666667,1985,1,0,0.734841290396983,0.0105032426856727,0.719868507658041,0.750125496987035
"1765","Diploid",79.4,1984,1,0,0.734470906682065,0.0105153356363231,0.719488617368808,0.749765180073523
"1766","Diploid",79.529,1983,0,1,0.734470906682065,0.0105153356363231,0.719488617368808,0.749765180073523
"1767","Diploid",79.7,1982,0,2,0.734470906682065,0.0105153356363231,0.719488617368808,0.749765180073523
"1768","Diploid",79.8,1980,1,0,0.7340999617797,0.0105274635334702,0.719108145701698,0.749404324100796
"1769","Diploid",79.86666667,1979,1,0,0.733729016877336,0.0105395897166798,0.71872769413005,0.749043448032723
